country,year,source,co2emissions
Bahrain,1980,nuclear,0.0
Bahrain,1980,other_renewables,0.0
Bangladesh,1980,all_energy_types,0.0
Bangladesh,1980,coal,0.0
Bangladesh,1980,gas,0.0
Bangladesh,1980,oil,0.0
Bangladesh,1980,nuclear,0.0
Bangladesh,1980,other_renewables,0.0
Barbados,1980,all_energy_types,0.0
Barbados,1980,coal,0.0
Barbados,1980,gas,0.0
Barbados,1980,oil,0.0
Barbados,1980,nuclear,0.0
Barbados,1980,other_renewables,0.0
Belarus,1980,all_energy_types,0.0
Belarus,1980,coal,0.0
Belarus,1980,gas,0.0
Belarus,1980,oil,0.0
Belarus,1980,nuclear,0.0
Belarus,1980,other_renewables,0.0
Belgium,1980,all_energy_types,0.0
Belgium,1980,coal,0.0
Belgium,1980,gas,0.0
Belgium,1980,oil,0.0
Belgium,1980,nuclear,0.0
Belgium,1980,other_renewables,0.0
Belize,1980,all_energy_types,0.0
Belize,1980,coal,0.0
Belize,1980,gas,0.0
Belize,1980,oil,0.0
Belize,1980,nuclear,0.0
Belize,1980,other_renewables,0.0
Benin,1980,all_energy_types,0.0
Benin,1980,coal,0.0
Benin,1980,gas,0.0
Benin,1980,oil,0.0
Benin,1980,nuclear,0.0
Benin,1980,other_renewables,0.0
Bermuda,1980,all_energy_types,0.0
Bermuda,1980,coal,0.0
Bermuda,1980,gas,0.0
Bermuda,1980,oil,0.0
Bermuda,1980,nuclear,0.0
Bermuda,1980,other_renewables,0.0
Bhutan,1980,all_energy_types,0.0
Bhutan,1980,coal,0.0
Bhutan,1980,gas,0.0
Bhutan,1980,oil,0.0
Bhutan,1980,nuclear,0.0
Bhutan,1980,other_renewables,0.0
Bolivia,1980,all_energy_types,0.0
Bolivia,1980,coal,0.0
Bolivia,1980,gas,0.0
Bolivia,1980,oil,0.0
Bolivia,1980,nuclear,0.0
Bolivia,1980,other_renewables,0.0
Bosnia and Herzegovina,1980,all_energy_types,0.0
Bosnia and Herzegovina,1980,coal,0.0
Bosnia and Herzegovina,1980,gas,0.0
Bosnia and Herzegovina,1980,oil,0.0
Bosnia and Herzegovina,1980,nuclear,0.0
Bosnia and Herzegovina,1980,other_renewables,0.0
Botswana,1980,all_energy_types,0.0
Botswana,1980,coal,0.0
Botswana,1980,gas,0.0
Botswana,1980,oil,0.0
Botswana,1980,nuclear,0.0
Botswana,1980,other_renewables,0.0
Brazil,1980,all_energy_types,0.0
Brazil,1980,coal,0.0
Brazil,1980,gas,0.0
Brazil,1980,oil,0.0
Brazil,1980,nuclear,0.0
Brazil,1980,other_renewables,0.0
British Virgin Islands,1980,all_energy_types,0.0
British Virgin Islands,1980,coal,0.0
British Virgin Islands,1980,gas,0.0
British Virgin Islands,1980,oil,0.0
British Virgin Islands,1980,nuclear,0.0
British Virgin Islands,1980,other_renewables,0.0
Brunei,1980,all_energy_types,0.0
Brunei,1980,coal,0.0
Brunei,1980,gas,0.0
Brunei,1980,oil,0.0
Brunei,1980,nuclear,0.0
Brunei,1980,other_renewables,0.0
Bulgaria,1980,all_energy_types,0.0
Bulgaria,1980,coal,0.0
Bulgaria,1980,gas,0.0
Bulgaria,1980,oil,0.0
Bulgaria,1980,nuclear,0.0
Bulgaria,1980,other_renewables,0.0
Burkina Faso,1980,all_energy_types,0.0
Burkina Faso,1980,coal,0.0
Burkina Faso,1980,gas,0.0
Burkina Faso,1980,oil,0.0
Burkina Faso,1980,nuclear,0.0
Burkina Faso,1980,other_renewables,0.0
Myanmar,1980,all_energy_types,0.0
Myanmar,1980,coal,0.0
Myanmar,1980,gas,0.0
Myanmar,1980,oil,0.0
Myanmar,1980,nuclear,0.0
Myanmar,1980,other_renewables,0.0
Burundi,1980,all_energy_types,0.0
Burundi,1980,coal,0.0
Burundi,1980,gas,0.0
Burundi,1980,oil,0.0
Burundi,1980,nuclear,0.0
Burundi,1980,other_renewables,0.0
Cape Verde,1980,all_energy_types,0.0
Cape Verde,1980,coal,0.0
Cape Verde,1980,gas,0.0
Cape Verde,1980,oil,0.0
Cape Verde,1980,nuclear,0.0
Cape Verde,1980,other_renewables,0.0
Cambodia,1980,all_energy_types,0.0
Cambodia,1980,coal,0.0
Cambodia,1980,gas,0.0
Cambodia,1980,oil,0.0
Cambodia,1980,nuclear,0.0
Cambodia,1980,other_renewables,0.0
Cameroon,1980,all_energy_types,0.0
Cameroon,1980,coal,0.0
Cameroon,1980,gas,0.0
Cameroon,1980,oil,0.0
Cameroon,1980,nuclear,0.0
Cameroon,1980,other_renewables,0.0
Canada,1980,all_energy_types,0.0
Canada,1980,coal,0.0
Canada,1980,gas,0.0
Canada,1980,oil,0.0
Canada,1980,nuclear,0.0
Canada,1980,other_renewables,0.0
Cayman Islands,1980,all_energy_types,0.0
Cayman Islands,1980,coal,0.0
Cayman Islands,1980,gas,0.0
Cayman Islands,1980,oil,0.0
Cayman Islands,1980,nuclear,0.0
Cayman Islands,1980,other_renewables,0.0
Central African Republic,1980,all_energy_types,0.0
Central African Republic,1980,coal,0.0
Central African Republic,1980,gas,0.0
Central African Republic,1980,oil,0.0
Central African Republic,1980,nuclear,0.0
Central African Republic,1980,other_renewables,0.0
Chad,1980,all_energy_types,0.0
Chad,1980,coal,0.0
Chad,1980,gas,0.0
Chad,1980,oil,0.0
Chad,1980,nuclear,0.0
Chad,1980,other_renewables,0.0
Chile,1980,all_energy_types,0.0
Chile,1980,coal,0.0
Chile,1980,gas,0.0
Chile,1980,oil,0.0
Chile,1980,nuclear,0.0
Chile,1980,other_renewables,0.0
China,1980,all_energy_types,0.0
China,1980,coal,0.0
China,1980,gas,0.0
China,1980,oil,0.0
China,1980,nuclear,0.0
China,1980,other_renewables,0.0
Colombia,1980,all_energy_types,0.0
Colombia,1980,coal,0.0
Colombia,1980,gas,0.0
Colombia,1980,oil,0.0
Colombia,1980,nuclear,0.0
Colombia,1980,other_renewables,0.0
Comoros,1980,all_energy_types,0.0
Comoros,1980,coal,0.0
Comoros,1980,gas,0.0
Comoros,1980,oil,0.0
Comoros,1980,nuclear,0.0
Comoros,1980,other_renewables,0.0
Cook Islands,1980,all_energy_types,0.0
Cook Islands,1980,coal,0.0
Cook Islands,1980,gas,0.0
Cook Islands,1980,oil,0.0
Cook Islands,1980,nuclear,0.0
Cook Islands,1980,other_renewables,0.0
Costa Rica,1980,all_energy_types,0.0
Costa Rica,1980,coal,0.0
Costa Rica,1980,gas,0.0
Costa Rica,1980,oil,0.0
Costa Rica,1980,nuclear,0.0
Costa Rica,1980,other_renewables,0.0
Croatia,1980,all_energy_types,0.0
Croatia,1980,coal,0.0
Croatia,1980,gas,0.0
Croatia,1980,oil,0.0
Croatia,1980,nuclear,0.0
Croatia,1980,other_renewables,0.0
Cuba,1980,all_energy_types,0.0
Cuba,1980,coal,0.0
Cuba,1980,gas,0.0
Cuba,1980,oil,0.0
Cuba,1980,nuclear,0.0
Cuba,1980,other_renewables,0.0
Cyprus,1980,all_energy_types,0.0
Cyprus,1980,coal,0.0
Cyprus,1980,gas,0.0
Cyprus,1980,oil,0.0
Cyprus,1980,nuclear,0.0
Cyprus,1980,other_renewables,0.0
Czechia,1980,all_energy_types,0.0
Czechia,1980,coal,0.0
Czechia,1980,gas,0.0
Czechia,1980,oil,0.0
Czechia,1980,nuclear,0.0
Czechia,1980,other_renewables,0.0
Cote d'Ivoire,1980,all_energy_types,0.0
Cote d'Ivoire,1980,coal,0.0
Cote d'Ivoire,1980,gas,0.0
Cote d'Ivoire,1980,oil,0.0
Cote d'Ivoire,1980,nuclear,0.0
Cote d'Ivoire,1980,other_renewables,0.0
Denmark,1980,all_energy_types,0.0
Denmark,1980,coal,0.0
Denmark,1980,gas,0.0
Denmark,1980,oil,0.0
Denmark,1980,nuclear,0.0
Denmark,1980,other_renewables,0.0
Djibouti,1980,all_energy_types,0.0
Djibouti,1980,coal,0.0
Djibouti,1980,gas,0.0
Djibouti,1980,oil,0.0
Djibouti,1980,nuclear,0.0
Djibouti,1980,other_renewables,0.0
Dominica,1980,all_energy_types,0.0
Dominica,1980,coal,0.0
Dominica,1980,gas,0.0
Dominica,1980,oil,0.0
Dominica,1980,nuclear,0.0
Dominica,1980,other_renewables,0.0
Dominican Republic,1980,all_energy_types,0.0
Dominican Republic,1980,coal,0.0
Dominican Republic,1980,gas,0.0
Dominican Republic,1980,oil,0.0
Dominican Republic,1980,nuclear,0.0
Dominican Republic,1980,other_renewables,0.0
Ecuador,1980,all_energy_types,0.0
Ecuador,1980,coal,0.0
Ecuador,1980,gas,0.0
Ecuador,1980,oil,0.0
Ecuador,1980,nuclear,0.0
Ecuador,1980,other_renewables,0.0
Egypt,1980,all_energy_types,0.0
Egypt,1980,coal,0.0
Egypt,1980,gas,0.0
Egypt,1980,oil,0.0
Egypt,1980,nuclear,0.0
Egypt,1980,other_renewables,0.0
El Salvador,1980,all_energy_types,0.0
El Salvador,1980,coal,0.0
El Salvador,1980,gas,0.0
El Salvador,1980,oil,0.0
El Salvador,1980,nuclear,0.0
El Salvador,1980,other_renewables,0.0
Equatorial Guinea,1980,all_energy_types,0.0
Equatorial Guinea,1980,coal,0.0
Equatorial Guinea,1980,gas,0.0
Equatorial Guinea,1980,oil,0.0
Equatorial Guinea,1980,nuclear,0.0
Equatorial Guinea,1980,other_renewables,0.0
Eritrea,1980,all_energy_types,0.0
Eritrea,1980,coal,0.0
Eritrea,1980,gas,0.0
Eritrea,1980,oil,0.0
Eritrea,1980,nuclear,0.0
Eritrea,1980,other_renewables,0.0
Estonia,1980,all_energy_types,0.0
Estonia,1980,coal,0.0
Estonia,1980,gas,0.0
Estonia,1980,oil,0.0
Estonia,1980,nuclear,0.0
Estonia,1980,other_renewables,0.0
Eswatini,1980,all_energy_types,0.0
Eswatini,1980,coal,0.0
Eswatini,1980,gas,0.0
Eswatini,1980,oil,0.0
Eswatini,1980,nuclear,0.0
Eswatini,1980,other_renewables,0.0
Ethiopia,1980,all_energy_types,0.0
Ethiopia,1980,coal,0.0
Ethiopia,1980,gas,0.0
Ethiopia,1980,oil,0.0
Ethiopia,1980,nuclear,0.0
Ethiopia,1980,other_renewables,0.0
Falkland Islands,1980,all_energy_types,0.0
Falkland Islands,1980,coal,0.0
Falkland Islands,1980,gas,0.0
Falkland Islands,1980,oil,0.0
Falkland Islands,1980,nuclear,0.0
Falkland Islands,1980,other_renewables,0.0
Fiji,1980,all_energy_types,0.0
Fiji,1980,coal,0.0
Fiji,1980,gas,0.0
Fiji,1980,oil,0.0
Fiji,1980,nuclear,0.0
Fiji,1980,other_renewables,0.0
Finland,1980,all_energy_types,0.0
Finland,1980,coal,0.0
Finland,1980,gas,0.0
Finland,1980,oil,0.0
Finland,1980,nuclear,0.0
Finland,1980,other_renewables,0.0
France,1980,all_energy_types,0.0
France,1980,coal,0.0
France,1980,gas,0.0
France,1980,oil,0.0
France,1980,nuclear,0.0
France,1980,other_renewables,0.0
French Guiana,1980,all_energy_types,0.0
French Guiana,1980,coal,0.0
French Guiana,1980,gas,0.0
French Guiana,1980,oil,0.0
French Guiana,1980,nuclear,0.0
French Guiana,1980,other_renewables,0.0
French Polynesia,1980,all_energy_types,0.0
French Polynesia,1980,coal,0.0
French Polynesia,1980,gas,0.0
French Polynesia,1980,oil,0.0
French Polynesia,1980,nuclear,0.0
French Polynesia,1980,other_renewables,0.0
Gabon,1980,all_energy_types,0.0
Gabon,1980,coal,0.0
Gabon,1980,gas,0.0
Gabon,1980,oil,0.0
Gabon,1980,nuclear,0.0
Gabon,1980,other_renewables,0.0
Gambia,1980,all_energy_types,0.0
Gambia,1980,coal,0.0
Gambia,1980,gas,0.0
Gambia,1980,oil,0.0
Gambia,1980,nuclear,0.0
Gambia,1980,other_renewables,0.0
Georgia,1980,all_energy_types,0.0
Georgia,1980,coal,0.0
Georgia,1980,gas,0.0
Georgia,1980,oil,0.0
Georgia,1980,nuclear,0.0
Georgia,1980,other_renewables,0.0
Germany,1980,all_energy_types,0.0
Germany,1980,coal,0.0
Germany,1980,gas,0.0
Germany,1980,oil,0.0
Germany,1980,nuclear,0.0
Germany,1980,other_renewables,0.0
Ghana,1980,all_energy_types,0.0
Ghana,1980,coal,0.0
Ghana,1980,gas,0.0
Ghana,1980,oil,0.0
Ghana,1980,nuclear,0.0
Ghana,1980,other_renewables,0.0
Gibraltar,1980,all_energy_types,0.0
Gibraltar,1980,coal,0.0
Gibraltar,1980,gas,0.0
Gibraltar,1980,oil,0.0
Gibraltar,1980,nuclear,0.0
Gibraltar,1980,other_renewables,0.0
Greece,1980,all_energy_types,0.0
Greece,1980,coal,0.0
Greece,1980,gas,0.0
Greece,1980,oil,0.0
Greece,1980,nuclear,0.0
Greece,1980,other_renewables,0.0
Greenland,1980,all_energy_types,0.0
Greenland,1980,coal,0.0
Greenland,1980,gas,0.0
Greenland,1980,oil,0.0
Greenland,1980,nuclear,0.0
Greenland,1980,other_renewables,0.0
Grenada,1980,all_energy_types,0.0
Grenada,1980,coal,0.0
Grenada,1980,gas,0.0
Grenada,1980,oil,0.0
Grenada,1980,nuclear,0.0
Grenada,1980,other_renewables,0.0
Guadeloupe,1980,all_energy_types,0.0
Guadeloupe,1980,coal,0.0
Guadeloupe,1980,gas,0.0
Guadeloupe,1980,oil,0.0
Guadeloupe,1980,nuclear,0.0
Guadeloupe,1980,other_renewables,0.0
Guam,1980,all_energy_types,0.0
Guam,1980,coal,0.0
Guam,1980,gas,0.0
Guam,1980,oil,0.0
Guam,1980,nuclear,0.0
Guam,1980,other_renewables,0.0
Guatemala,1980,all_energy_types,0.0
Guatemala,1980,coal,0.0
Guatemala,1980,gas,0.0
Guatemala,1980,oil,0.0
Guatemala,1980,nuclear,0.0
Guatemala,1980,other_renewables,0.0
Guinea,1980,all_energy_types,0.0
Guinea,1980,coal,0.0
Guinea,1980,gas,0.0
Guinea,1980,oil,0.0
Guinea,1980,nuclear,0.0
Guinea,1980,other_renewables,0.0
Guyana,1980,all_energy_types,0.0
Guyana,1980,coal,0.0
Guyana,1980,gas,0.0
Guyana,1980,oil,0.0
Guyana,1980,nuclear,0.0
Guyana,1980,other_renewables,0.0
Haiti,1980,all_energy_types,0.0
Haiti,1980,coal,0.0
Haiti,1980,gas,0.0
Haiti,1980,oil,0.0
Haiti,1980,nuclear,0.0
Haiti,1980,other_renewables,0.0
Honduras,1980,all_energy_types,0.0
Honduras,1980,coal,0.0
Honduras,1980,gas,0.0
Honduras,1980,oil,0.0
Honduras,1980,nuclear,0.0
Honduras,1980,other_renewables,0.0
Hong Kong,1980,all_energy_types,0.0
Hong Kong,1980,coal,0.0
Hong Kong,1980,gas,0.0
Hong Kong,1980,oil,0.0
Hong Kong,1980,nuclear,0.0
Hong Kong,1980,other_renewables,0.0
Hungary,1980,all_energy_types,0.0
Hungary,1980,coal,0.0
Hungary,1980,gas,0.0
Hungary,1980,oil,0.0
Hungary,1980,nuclear,0.0
Hungary,1980,other_renewables,0.0
Iceland,1980,all_energy_types,0.0
Iceland,1980,coal,0.0
Iceland,1980,gas,0.0
Iceland,1980,oil,0.0
Iceland,1980,nuclear,0.0
Iceland,1980,other_renewables,0.0
India,1980,all_energy_types,0.0
India,1980,coal,0.0
India,1980,gas,0.0
India,1980,oil,0.0
India,1980,nuclear,0.0
India,1980,other_renewables,0.0
Indonesia,1980,all_energy_types,0.0
Indonesia,1980,coal,0.0
Indonesia,1980,gas,0.0
Indonesia,1980,oil,0.0
Indonesia,1980,nuclear,0.0
Indonesia,1980,other_renewables,0.0
Iran,1980,all_energy_types,0.0
Iran,1980,coal,0.0
Iran,1980,gas,0.0
Iran,1980,oil,0.0
Iran,1980,nuclear,0.0
Iran,1980,other_renewables,0.0
Iraq,1980,all_energy_types,0.0
Iraq,1980,coal,0.0
Iraq,1980,gas,0.0
Iraq,1980,oil,0.0
Iraq,1980,nuclear,0.0
Iraq,1980,other_renewables,0.0
Ireland,1980,all_energy_types,0.0
Ireland,1980,coal,0.0
Ireland,1980,gas,0.0
Ireland,1980,oil,0.0
Ireland,1980,nuclear,0.0
Ireland,1980,other_renewables,0.0
Israel,1980,all_energy_types,0.0
Israel,1980,coal,0.0
Israel,1980,gas,0.0
Israel,1980,oil,0.0
Israel,1980,nuclear,0.0
Israel,1980,other_renewables,0.0
Italy,1980,all_energy_types,0.0
Italy,1980,coal,0.0
Italy,1980,gas,0.0
Italy,1980,oil,0.0
Italy,1980,nuclear,0.0
Italy,1980,other_renewables,0.0
Jamaica,1980,all_energy_types,0.0
Jamaica,1980,coal,0.0
Jamaica,1980,gas,0.0
Jamaica,1980,oil,0.0
Jamaica,1980,nuclear,0.0
Jamaica,1980,other_renewables,0.0
Japan,1980,all_energy_types,0.0
Japan,1980,coal,0.0
Japan,1980,gas,0.0
Japan,1980,oil,0.0
Japan,1980,nuclear,0.0
Japan,1980,other_renewables,0.0
Jordan,1980,all_energy_types,0.0
Jordan,1980,coal,0.0
Jordan,1980,gas,0.0
Jordan,1980,oil,0.0
Jordan,1980,nuclear,0.0
Jordan,1980,other_renewables,0.0
Kazakhstan,1980,all_energy_types,0.0
Kazakhstan,1980,coal,0.0
Kazakhstan,1980,gas,0.0
Kazakhstan,1980,oil,0.0
Kazakhstan,1980,nuclear,0.0
Kazakhstan,1980,other_renewables,0.0
Kenya,1980,all_energy_types,0.0
Kenya,1980,coal,0.0
Kenya,1980,gas,0.0
Kenya,1980,oil,0.0
Kenya,1980,nuclear,0.0
Kenya,1980,other_renewables,0.0
Kiribati,1980,all_energy_types,0.0
Kiribati,1980,coal,0.0
Kiribati,1980,gas,0.0
Kiribati,1980,oil,0.0
Kiribati,1980,nuclear,0.0
Kiribati,1980,other_renewables,0.0
Kosovo,1980,all_energy_types,0.0
Kosovo,1980,coal,0.0
Kosovo,1980,gas,0.0
Kosovo,1980,oil,0.0
Kosovo,1980,nuclear,0.0
Kosovo,1980,other_renewables,0.0
Kuwait,1980,all_energy_types,0.0
Kuwait,1980,coal,0.0
Kuwait,1980,gas,0.0
Kuwait,1980,oil,0.0
Kuwait,1980,nuclear,0.0
Kuwait,1980,other_renewables,0.0
Kyrgyzstan,1980,all_energy_types,0.0
Kyrgyzstan,1980,coal,0.0
Kyrgyzstan,1980,gas,0.0
Kyrgyzstan,1980,oil,0.0
Kyrgyzstan,1980,nuclear,0.0
Kyrgyzstan,1980,other_renewables,0.0
Laos,1980,all_energy_types,0.0
Laos,1980,coal,0.0
Laos,1980,gas,0.0
Laos,1980,oil,0.0
Laos,1980,nuclear,0.0
Laos,1980,other_renewables,0.0
Latvia,1980,all_energy_types,0.0
Latvia,1980,coal,0.0
Latvia,1980,gas,0.0
Latvia,1980,oil,0.0
Latvia,1980,nuclear,0.0
Latvia,1980,other_renewables,0.0
Lebanon,1980,all_energy_types,0.0
Lebanon,1980,coal,0.0
Lebanon,1980,gas,0.0
Lebanon,1980,oil,0.0
Lebanon,1980,nuclear,0.0
Lebanon,1980,other_renewables,0.0
Lesotho,1980,all_energy_types,0.0
Lesotho,1980,coal,0.0
Lesotho,1980,gas,0.0
Lesotho,1980,oil,0.0
Lesotho,1980,nuclear,0.0
Lesotho,1980,other_renewables,0.0
Liberia,1980,all_energy_types,0.0
Liberia,1980,coal,0.0
Liberia,1980,gas,0.0
Liberia,1980,oil,0.0
Liberia,1980,nuclear,0.0
Liberia,1980,other_renewables,0.0
Libya,1980,all_energy_types,0.0
Libya,1980,coal,0.0
Libya,1980,gas,0.0
Libya,1980,oil,0.0
Libya,1980,nuclear,0.0
Libya,1980,other_renewables,0.0
Lithuania,1980,all_energy_types,0.0
Lithuania,1980,coal,0.0
Lithuania,1980,gas,0.0
Lithuania,1980,oil,0.0
Lithuania,1980,nuclear,0.0
Lithuania,1980,other_renewables,0.0
Luxembourg,1980,all_energy_types,0.0
Luxembourg,1980,coal,0.0
Luxembourg,1980,gas,0.0
Luxembourg,1980,oil,0.0
Luxembourg,1980,nuclear,0.0
Luxembourg,1980,other_renewables,0.0
Macao,1980,all_energy_types,0.0
Macao,1980,coal,0.0
Macao,1980,gas,0.0
Macao,1980,oil,0.0
Macao,1980,nuclear,0.0
Macao,1980,other_renewables,0.0
Madagascar,1980,all_energy_types,0.0
Madagascar,1980,coal,0.0
Madagascar,1980,gas,0.0
Madagascar,1980,oil,0.0
Madagascar,1980,nuclear,0.0
Madagascar,1980,other_renewables,0.0
Malawi,1980,all_energy_types,0.0
Malawi,1980,coal,0.0
Malawi,1980,gas,0.0
Malawi,1980,oil,0.0
Malawi,1980,nuclear,0.0
Malawi,1980,other_renewables,0.0
Malaysia,1980,all_energy_types,0.0
Malaysia,1980,coal,0.0
Malaysia,1980,gas,0.0
Malaysia,1980,oil,0.0
Malaysia,1980,nuclear,0.0
Malaysia,1980,other_renewables,0.0
Maldives,1980,all_energy_types,0.0
Maldives,1980,coal,0.0
Maldives,1980,gas,0.0
Maldives,1980,oil,0.0
Maldives,1980,nuclear,0.0
Maldives,1980,other_renewables,0.0
Mali,1980,all_energy_types,0.0
Mali,1980,coal,0.0
Mali,1980,gas,0.0
Mali,1980,oil,0.0
Mali,1980,nuclear,0.0
Mali,1980,other_renewables,0.0
Malta,1980,all_energy_types,0.0
Malta,1980,coal,0.0
Malta,1980,gas,0.0
Malta,1980,oil,0.0
Malta,1980,nuclear,0.0
Malta,1980,other_renewables,0.0
Martinique,1980,all_energy_types,0.0
Martinique,1980,coal,0.0
Martinique,1980,gas,0.0
Martinique,1980,oil,0.0
Martinique,1980,nuclear,0.0
Martinique,1980,other_renewables,0.0
Mauritania,1980,all_energy_types,0.0
Mauritania,1980,coal,0.0
Mauritania,1980,gas,0.0
Mauritania,1980,oil,0.0
Mauritania,1980,nuclear,0.0
Mauritania,1980,other_renewables,0.0
Mauritius,1980,all_energy_types,0.0
Mauritius,1980,coal,0.0
Mauritius,1980,gas,0.0
Mauritius,1980,oil,0.0
Mauritius,1980,nuclear,0.0
Mauritius,1980,other_renewables,0.0
Mexico,1980,all_energy_types,0.0
Mexico,1980,coal,0.0
Mexico,1980,gas,0.0
Mexico,1980,oil,0.0
Mexico,1980,nuclear,0.0
Mexico,1980,other_renewables,0.0
Micronesia,1980,all_energy_types,0.0
Micronesia,1980,coal,0.0
Micronesia,1980,gas,0.0
Micronesia,1980,oil,0.0
Micronesia,1980,nuclear,0.0
Micronesia,1980,other_renewables,0.0
Moldova,1980,all_energy_types,0.0
Moldova,1980,coal,0.0
Moldova,1980,gas,0.0
Moldova,1980,oil,0.0
Moldova,1980,nuclear,0.0
Moldova,1980,other_renewables,0.0
Mongolia,1980,all_energy_types,0.0
Mongolia,1980,coal,0.0
Mongolia,1980,gas,0.0
Mongolia,1980,oil,0.0
Mongolia,1980,nuclear,0.0
Mongolia,1980,other_renewables,0.0
Montenegro,1980,all_energy_types,0.0
Montenegro,1980,coal,0.0
Montenegro,1980,gas,0.0
Montenegro,1980,oil,0.0
Montenegro,1980,nuclear,0.0
Montenegro,1980,other_renewables,0.0
Montserrat,1980,all_energy_types,0.0
Montserrat,1980,coal,0.0
Montserrat,1980,gas,0.0
Montserrat,1980,oil,0.0
Montserrat,1980,nuclear,0.0
Montserrat,1980,other_renewables,0.0
Morocco,1980,all_energy_types,0.0
Morocco,1980,coal,0.0
Morocco,1980,gas,0.0
Morocco,1980,oil,0.0
Morocco,1980,nuclear,0.0
Morocco,1980,other_renewables,0.0
Mozambique,1980,all_energy_types,0.0
Mozambique,1980,coal,0.0
Mozambique,1980,gas,0.0
Mozambique,1980,oil,0.0
Mozambique,1980,nuclear,0.0
Mozambique,1980,other_renewables,0.0
Namibia,1980,all_energy_types,0.0
Namibia,1980,coal,0.0
Namibia,1980,gas,0.0
Namibia,1980,oil,0.0
Namibia,1980,nuclear,0.0
Namibia,1980,other_renewables,0.0
Nauru,1980,all_energy_types,0.0
Nauru,1980,coal,0.0
Nauru,1980,gas,0.0
Nauru,1980,oil,0.0
Nauru,1980,nuclear,0.0
Nauru,1980,other_renewables,0.0
Nepal,1980,all_energy_types,0.0
Nepal,1980,coal,0.0
Nepal,1980,gas,0.0
Nepal,1980,oil,0.0
Nepal,1980,nuclear,0.0
Nepal,1980,other_renewables,0.0
Netherlands,1980,all_energy_types,0.0
Netherlands,1980,coal,0.0
Netherlands,1980,gas,0.0
Netherlands,1980,oil,0.0
Netherlands,1980,nuclear,0.0
Netherlands,1980,other_renewables,0.0
Netherlands Antilles,1980,all_energy_types,0.0
Netherlands Antilles,1980,coal,0.0
Netherlands Antilles,1980,gas,0.0
Netherlands Antilles,1980,oil,0.0
Netherlands Antilles,1980,nuclear,0.0
Netherlands Antilles,1980,other_renewables,0.0
New Caledonia,1980,all_energy_types,0.0
New Caledonia,1980,coal,0.0
New Caledonia,1980,gas,0.0
New Caledonia,1980,oil,0.0
New Caledonia,1980,nuclear,0.0
New Caledonia,1980,other_renewables,0.0
New Zealand,1980,all_energy_types,0.0
New Zealand,1980,coal,0.0
New Zealand,1980,gas,0.0
New Zealand,1980,oil,0.0
