region,year,source,consumptionElectricity,productionElectricity,energyPerCapita,elecPerCapita
Africa,1991,wind,0.0,0.0,0.0,0.0
Africa,1992,coal,858.831,165.42,0.0,248.935
Africa,1992,gas,421.27,50.545,633.954,76.063
Africa,1992,hydro,171.092,57.86,257.471,87.072
Africa,1992,nuclear,26.355,9.288,39.66,13.977
Africa,1992,oil,1170.525,42.63,1761.48,64.152
Africa,1992,other_renewables,2.592,0.842,3.901,1.267
Africa,1992,renewables,173.684,58.703,261.371,88.339
Africa,1992,solar,0.0,0.0,0.0,0.0
Africa,1992,wind,0.0,0.0,0.0,0.0
Africa,1993,coal,871.714,175.957,0.0,258.051
Africa,1993,gas,412.644,55.133,605.166,80.856
Africa,1993,hydro,167.61,56.683,245.809,83.128
Africa,1993,nuclear,20.586,7.255,30.191,10.64
Africa,1993,oil,1180.077,41.806,1730.649,61.31
Africa,1993,other_renewables,2.897,0.938,4.248,1.375
Africa,1993,renewables,170.512,57.622,250.066,84.506
Africa,1993,solar,0.0,0.0,0.0,0.0
Africa,1993,wind,0.006,0.002,0.009,0.003
Africa,1994,coal,894.448,179.794,0.0,257.052
Africa,1994,gas,431.828,62.102,617.386,88.787
Africa,1994,hydro,170.311,57.596,243.494,82.345
Africa,1994,nuclear,27.515,9.697,39.339,13.864
Africa,1994,oil,1221.885,39.825,1746.933,56.937
Africa,1994,other_renewables,2.573,0.835,3.679,1.194
Africa,1994,renewables,172.9,58.436,247.196,83.547
Africa,1994,solar,0.0,0.0,0.0,0.0
Africa,1994,wind,0.016,0.005,0.023,0.008
Africa,1995,coal,922.471,186.886,0.0,260.552
Africa,1995,gas,461.243,66.314,643.054,92.453
Africa,1995,hydro,176.736,59.769,246.401,83.328
Africa,1995,nuclear,32.067,11.301,44.707,15.756
Africa,1995,oil,1266.782,36.182,1766.115,50.444
Africa,1995,other_renewables,3.114,1.019,4.341,1.42
Africa,1995,renewables,179.868,60.794,250.768,84.757
Africa,1995,solar,0.0,0.0,0.0,0.0
Africa,1995,wind,0.019,0.006,0.026,0.009
Africa,1996,coal,935.228,197.291,0.0,268.292
Africa,1996,gas,484.192,69.992,658.441,95.18
Africa,1996,hydro,184.269,62.316,250.583,84.743
Africa,1996,nuclear,33.412,11.775,45.436,16.013
Africa,1996,oil,1293.971,37.369,1759.641,50.817
Africa,1996,other_renewables,3.877,1.258,5.272,1.711
Africa,1996,renewables,188.167,63.582,255.884,86.463
Africa,1996,solar,0.0,0.0,0.0,0.0
Africa,1996,wind,0.021,0.007,0.029,0.01
Africa,1997,coal,959.019,206.045,0.0,273.364
Africa,1997,gas,474.476,75.844,629.497,100.625
Africa,1997,hydro,188.811,63.852,250.5,84.714
Africa,1997,nuclear,35.886,12.647,47.611,16.779
Africa,1997,oil,1332.273,38.575,1767.556,51.178
Africa,1997,other_renewables,4.297,1.387,5.7,1.84
Africa,1997,renewables,193.129,65.246,256.228,86.564
Africa,1997,solar,0.0,0.0,0.0,0.0
Africa,1997,wind,0.021,0.007,0.028,0.01
Africa,1998,coal,937.039,201.698,0.0,261.118
Africa,1998,gas,499.337,77.33,646.444,100.112
Africa,1998,hydro,197.098,66.655,255.164,86.292
Africa,1998,nuclear,38.593,13.601,49.963,17.608
Africa,1998,oil,1363.509,43.096,1765.203,55.793
Africa,1998,other_renewables,5.319,1.713,6.886,2.217
Africa,1998,renewables,202.439,68.375,262.079,88.519
Africa,1998,solar,0.0,0.0,0.0,0.0
Africa,1998,wind,0.022,0.008,0.029,0.01
Africa,1999,coal,966.011,199.796,0.0,252.425
Africa,1999,gas,504.02,86.09,636.787,108.768
Africa,1999,hydro,209.013,70.684,264.07,89.304
Africa,1999,nuclear,36.425,12.837,46.02,16.218
Africa,1999,oil,1414.56,44.924,1787.18,56.757
Africa,1999,other_renewables,5.271,1.696,6.66,2.143
Africa,1999,renewables,214.343,72.4,270.804,91.472
Africa,1999,solar,0.0,0.0,0.0,0.0
Africa,1999,wind,0.059,0.02,0.074,0.025
Africa,2000,coal,963.731,208.214,0.0,256.742
Africa,2000,gas,556.822,91.843,686.601,113.249
Africa,2000,hydro,222.531,75.256,274.396,92.796
Africa,2000,nuclear,36.916,13.01,45.52,16.042
Africa,2000,oil,1420.386,46.566,1751.435,57.42
Africa,2000,other_renewables,7.089,2.269,8.742,2.798
Africa,2000,renewables,230.174,77.712,283.821,95.825
Africa,2000,solar,0.035,0.012,0.044,0.015
Africa,2000,wind,0.519,0.176,0.64,0.216
Africa,2001,coal,975.926,214.431,0.0,258.07
Africa,2001,gas,634.636,100.978,763.791,121.529
Africa,2001,hydro,237.576,80.869,285.926,97.327
Africa,2001,nuclear,30.218,10.719,36.367,12.9
Africa,2001,oil,1432.664,47.409,1724.226,57.057
Africa,2001,other_renewables,7.275,2.335,8.756,2.811
Africa,2001,renewables,246.117,83.635,296.204,100.656
Africa,2001,solar,0.044,0.015,0.053,0.018
Africa,2001,wind,1.221,0.416,1.469,0.5
Africa,2002,coal,934.422,222.898,0.0,261.833
Africa,2002,gas,670.605,115.955,787.744,136.209
Africa,2002,hydro,248.178,85.026,291.529,99.879
Africa,2002,nuclear,33.586,11.991,39.452,14.086
Africa,2002,oil,1479.167,46.946,1737.542,55.146
Africa,2002,other_renewables,7.148,2.286,8.396,2.686
Africa,2002,renewables,256.67,87.773,301.504,103.105
Africa,2002,solar,0.049,0.017,0.058,0.02
Africa,2002,wind,1.295,0.444,1.521,0.521
Africa,2003,coal,1017.048,235.015,0.0,269.436
Africa,2003,gas,711.507,123.984,815.716,142.143
Africa,2003,hydro,239.477,82.575,274.551,94.669
Africa,2003,nuclear,35.24,12.663,40.402,14.518
Africa,2003,oil,1524.815,48.555,1748.143,55.667
Africa,2003,other_renewables,8.049,2.622,9.228,3.006
Africa,2003,renewables,249.137,85.753,285.626,98.312
Africa,2003,solar,0.058,0.02,0.067,0.023
Africa,2003,wind,1.553,0.536,1.781,0.614
Africa,2004,coal,1119.162,245.195,0.0,274.315
Africa,2004,gas,783.068,141.143,876.069,157.906
Africa,2004,hydro,251.336,87.219,281.186,97.578
Africa,2004,nuclear,36.958,13.365,41.347,14.952
Africa,2004,oil,1586.511,46.538,1774.933,52.065
Africa,2004,other_renewables,9.088,2.979,10.167,3.333
Africa,2004,renewables,262.709,90.991,293.909,101.798
Africa,2004,solar,0.071,0.025,0.079,0.027
Africa,2004,wind,2.214,0.768,2.477,0.86
Africa,2005,coal,1039.073,248.812,0.0,271.583
Africa,2005,gas,807.782,151.724,881.709,165.61
Africa,2005,hydro,254.379,88.838,277.66,96.968
Africa,2005,nuclear,31.029,11.293,33.869,12.326
Africa,2005,oil,1654.919,52.596,1806.376,57.41
Africa,2005,other_renewables,9.162,3.01,10.001,3.285
Africa,2005,renewables,265.86,92.657,290.191,101.137
Africa,2005,solar,0.084,0.029,0.092,0.032
Africa,2005,wind,2.235,0.78,2.439,0.852
Africa,2006,coal,1054.097,255.901,0.0,272.465
Africa,2006,gas,843.442,164.536,898.033,175.185
Africa,2006,hydro,261.918,92.049,278.87,98.007
Africa,2006,nuclear,27.375,10.026,29.147,10.675
Africa,2006,oil,1673.717,55.4,1782.047,58.986
Africa,2006,other_renewables,11.553,3.77,12.301,4.014
Africa,2006,renewables,276.004,96.71,293.869,102.97
Africa,2006,solar,0.108,0.038,0.115,0.04
Africa,2006,wind,2.426,0.853,2.583,0.908
Africa,2007,coal,1071.633,262.47,0.0,272.549
Africa,2007,gas,900.07,174.977,934.631,181.695
Africa,2007,hydro,269.185,95.199,279.522,98.854
Africa,2007,nuclear,30.707,11.317,31.886,11.752
Africa,2007,oil,1734.741,58.792,1801.352,61.049
Africa,2007,other_renewables,9.555,3.142,9.922,3.263
Africa,2007,renewables,281.757,99.407,292.576,103.224
Africa,2007,solar,0.143,0.05,0.148,0.052
Africa,2007,wind,2.873,1.016,2.984,1.055
Africa,2008,coal,1180.725,257.491,0.0,260.718
Africa,2008,gas,935.162,183.559,946.881,185.859
Africa,2008,hydro,272.483,96.967,275.898,98.182
Africa,2008,nuclear,35.066,13.004,35.505,13.167
Africa,2008,oil,1824.851,64.646,1847.719,65.456
Africa,2008,other_renewables,9.915,3.267,10.039,3.308
Africa,2008,renewables,286.289,101.619,289.877,102.892
Africa,2008,solar,0.204,0.073,0.207,0.074
Africa,2008,wind,3.686,1.312,3.732,1.328
Africa,2009,coal,1176.002,247.706,0.0,244.516
Africa,2009,gas,940.861,189.981,928.744,187.535
Africa,2009,hydro,278.046,99.561,274.465,98.279
Africa,2009,nuclear,34.318,12.806,33.877,12.641
Africa,2009,oil,1885.976,71.237,1861.689,70.32
Africa,2009,other_renewables,10.701,3.563,10.563,3.517
Africa,2009,renewables,293.453,104.809,289.674,103.459
Africa,2009,solar,0.268,0.096,0.264,0.095
Africa,2009,wind,4.438,1.589,4.381,1.569
Africa,2010,coal,1164.84,257.339,0.0,247.607
Africa,2010,gas,980.732,216.735,943.643,208.538
Africa,2010,hydro,298.926,107.698,287.621,103.626
Africa,2010,nuclear,36.028,13.527,34.666,13.015
Africa,2010,oil,1966.215,67.363,1891.857,64.816
Africa,2010,other_renewables,11.243,3.765,10.818,3.622
Africa,2010,renewables,317.109,113.964,305.117,109.654
Africa,2010,solar,0.6,0.216,0.577,0.208
Africa,2010,wind,6.341,2.285,6.101,2.198
Africa,2011,coal,1147.299,259.977,0.0,243.787
Africa,2011,gas,1060.527,234.742,994.484,220.124
Africa,2011,hydro,305.522,110.751,286.496,103.854
Africa,2011,nuclear,34.154,12.902,32.027,12.099
Africa,2011,oil,1934.171,59.669,1813.722,55.953
Africa,2011,other_renewables,11.526,3.859,10.808,3.618
Africa,2011,renewables,325.293,117.598,305.035,110.275
Africa,2011,solar,1.661,0.602,1.558,0.565
Africa,2011,wind,6.584,2.387,6.174,2.238
Africa,2012,coal,1118.487,255.558,0.0,233.526
Africa,2012,gas,1146.77,259.229,1047.908,236.881
Africa,2012,hydro,304.977,111.227,278.685,101.638
Africa,2012,nuclear,34.119,12.967,31.178,11.85
Africa,2012,oil,2046.83,72.373,1870.373,66.134
Africa,2012,other_renewables,12.048,4.042,11.009,3.694
Africa,2012,renewables,326.644,118.778,298.484,108.538
Africa,2012,solar,2.722,0.993,2.487,0.907
Africa,2012,wind,6.898,2.516,6.303,2.299
Africa,2013,coal,1130.161,251.395,0.0,223.852
Africa,2013,gas,1169.745,265.618,1041.584,236.516
Africa,2013,hydro,320.652,117.652,285.52,104.762
Africa,2013,nuclear,36.891,14.106,32.849,12.56
Africa,2013,oil,2121.441,84.305,1889.008,75.068
Africa,2013,other_renewables,13.124,4.433,11.686,3.948
Africa,2013,renewables,345.716,126.467,307.838,112.61
Africa,2013,solar,2.146,0.788,1.911,0.701
Africa,2013,wind,9.794,3.593,8.721,3.2
Africa,2014,coal,1183.806,251.985,0.0,218.655
Africa,2014,gas,1202.32,273.848,1043.288,237.626
Africa,2014,hydro,336.15,124.082,291.687,107.67
Africa,2014,nuclear,35.859,13.794,31.116,11.969
Africa,2014,oil,2143.333,90.046,1859.833,78.135
Africa,2014,other_renewables,15.707,5.462,13.63,4.74
Africa,2014,renewables,370.724,136.508,321.688,118.452
Africa,2014,solar,5.159,1.904,4.476,1.652
Africa,2014,wind,13.708,5.06,11.895,4.391
Africa,2015,coal,1119.038,251.189,0.0,212.433
Africa,2015,gas,1325.36,285.773,1120.87,241.681
Africa,2015,hydro,324.274,120.415,274.241,101.836
Africa,2015,nuclear,31.622,12.237,26.743,10.349
Africa,2015,oil,2199.145,97.737,1859.838,82.657
Africa,2015,other_renewables,20.138,7.17,17.031,6.063
Africa,2015,renewables,377.184,139.754,318.988,118.191
Africa,2015,solar,8.775,3.259,7.421,2.756
Africa,2015,wind,23.996,8.911,20.294,7.536
Africa,2016,coal,1186.288,248.336,0.0,204.722
Africa,2016,gas,1370.495,302.099,1129.802,249.042
Africa,2016,hydro,314.355,117.426,259.146,96.803
Africa,2016,nuclear,38.6,15.026,31.821,12.387
Africa,2016,oil,2210.926,89.778,1822.631,74.011
Africa,2016,other_renewables,20.29,7.232,16.727,5.962
Africa,2016,renewables,378.978,141.219,312.42,116.417
Africa,2016,solar,14.413,5.384,11.882,4.439
Africa,2016,wind,29.92,11.176,24.665,9.214
Africa,2017,coal,1185.067,252.936,0.0,203.288
Africa,2017,gas,1448.745,325.059,1164.378,261.255
Africa,2017,hydro,336.232,126.342,270.235,101.543
Africa,2017,nuclear,36.246,14.193,29.131,11.407
Africa,2017,oil,2233.09,76.206,1794.768,61.248
Africa,2017,other_renewables,21.307,7.626,17.125,6.129
Africa,2017,renewables,411.379,154.199,330.632,123.932
Africa,2017,solar,20.687,7.773,16.627,6.248
Africa,2017,wind,33.153,12.457,26.645,10.012
Africa,2018,coal,1163.6,259.092,0.0,203.063
Africa,2018,gas,1543.551,333.956,1209.754,261.737
Africa,2018,hydro,356.115,134.6,279.104,105.492
Africa,2018,nuclear,29.4,11.58,23.042,9.076
Africa,2018,oil,2257.502,72.273,1769.312,56.644
Africa,2018,other_renewables,22.591,8.173,17.706,6.405
Africa,2018,renewables,444.38,167.596,348.282,131.353
Africa,2018,solar,26.599,10.054,20.847,7.879
Africa,2018,wind,39.076,14.769,30.625,11.575
Africa,2019,coal,1231.317,255.674,0.0,195.46
Africa,2019,gas,1549.73,339.264,1184.751,259.363
Africa,2019,hydro,367.501,139.418,280.95,106.583
Africa,2019,nuclear,34.391,13.596,26.291,10.394
Africa,2019,oil,2262.036,73.751,1729.3,56.382
Africa,2019,other_renewables,22.908,8.263,17.513,6.317
Africa,2019,renewables,475.355,179.907,363.404,137.536
Africa,2019,solar,33.989,12.894,25.984,9.858
Africa,2019,wind,50.958,19.332,38.957,14.779
Africa,2020,coal,1157.901,239.796,0.0,178.872
Africa,2020,gas,1535.972,337.043,1145.737,251.412
Africa,2020,hydro,384.418,146.373,286.751,109.185
Africa,2020,nuclear,35.155,13.949,26.223,10.405
Africa,2020,oil,2011.053,66.686,1500.116,49.743
Africa,2020,other_renewables,22.349,8.066,16.671,6.017
Africa,2020,renewables,504.89,191.801,376.615,143.071
Africa,2020,solar,42.175,16.059,31.46,11.979
Africa,2020,wind,55.948,21.303,41.733,15.891
Africa,2021,coal,1168.741,247.404,0.0,180.128
Africa,2021,gas,1643.815,355.564,1196.819,258.877
Africa,2021,hydro,401.447,153.419,292.283,111.7
Africa,2021,nuclear,26.175,10.424,19.057,7.59
Africa,2021,oil,2183.542,76.19,1589.781,55.472
Africa,2021,other_renewables,22.189,8.026,16.156,5.844
Africa,2021,renewables,530.74,202.376,386.418,147.345
Africa,2021,solar,43.215,16.515,31.464,12.024
Africa,2021,wind,63.889,24.416,46.516,17.777
Asia,1980,coal,5541.419,0.0,0.0,0.0
Asia,1980,gas,932.266,0.0,351.946,0.0
Asia,1980,hydro,773.687,261.647,292.079,98.776
Asia,1980,nuclear,274.657,96.795,103.688,36.542
Asia,1980,oil,6965.993,0.0,2629.775,0.0
Asia,1980,other_renewables,9.333,3.272,3.524,1.235
Asia,1980,renewables,783.02,264.919,295.603,100.011
Asia,1980,solar,0.0,0.0,0.0,0.0
Asia,1980,wind,0.0,0.0,0.0,0.0
Asia,1981,coal,5723.564,0.0,0.0,0.0
Asia,1981,gas,957.291,0.0,354.482,0.0
Asia,1981,hydro,825.041,279.014,305.51,103.318
Asia,1981,nuclear,295.156,104.019,109.295,38.518
Asia,1981,oil,6899.109,0.0,2554.719,0.0
Asia,1981,other_renewables,14.799,5.159,5.48,1.91
Asia,1981,renewables,839.84,284.173,310.99,105.228
Asia,1981,solar,0.0,0.0,0.0,0.0
Asia,1981,wind,0.0,0.0,0.0,0.0
Asia,1982,coal,5951.464,0.0,0.0,0.0
Asia,1982,gas,1022.452,0.0,371.376,0.0
Asia,1982,hydro,817.209,276.365,296.827,100.382
Asia,1982,nuclear,345.188,121.651,125.379,44.186
Asia,1982,oil,6872.519,0.0,2496.242,0.0
Asia,1982,other_renewables,42.3,13.787,15.364,5.008
Asia,1982,renewables,859.509,290.152,312.192,105.389
Asia,1982,solar,0.0,0.0,0.0,0.0
Asia,1982,wind,0.0,0.0,0.0,0.0
Asia,1983,coal,6326.967,0.0,0.0,0.0
Asia,1983,gas,1100.34,0.0,391.986,0.0
Asia,1983,hydro,854.658,289.03,304.464,102.964
Asia,1983,nuclear,412.886,145.51,147.087,51.836
Asia,1983,oil,7120.474,0.0,2536.602,0.0
Asia,1983,other_renewables,49.018,15.97,17.462,5.689
Asia,1983,renewables,903.676,305.0,321.926,108.653
Asia,1983,solar,0.0,0.0,0.0,0.0
Asia,1983,wind,0.0,0.0,0.0,0.0
Asia,1984,coal,6892.806,0.0,0.0,0.0
Asia,1984,gas,1353.001,0.0,472.615,0.0
Asia,1984,hydro,856.65,289.704,299.235,101.196
Asia,1984,nuclear,496.61,175.016,173.47,61.134
Asia,1984,oil,7476.664,0.0,2611.662,0.0
Asia,1984,other_renewables,53.771,17.504,18.783,6.114
Asia,1984,renewables,910.421,307.208,318.018,107.31
Asia,1984,solar,0.0,0.0,0.0,0.0
Asia,1984,wind,0.0,0.0,0.0,0.0
Asia,1985,coal,7993.004,654.826,0.0,224.219
Asia,1985,gas,2157.772,345.533,738.844,118.314
Asia,1985,hydro,1014.914,343.225,347.517,117.524
Asia,1985,nuclear,610.675,215.215,209.102,73.692
Asia,1985,oil,8199.693,463.636,2807.663,158.754
Asia,1985,other_renewables,57.247,18.651,19.602,6.386
Asia,1985,renewables,1072.161,361.876,367.119,123.91
Asia,1985,solar,0.0,0.0,0.0,0.0
Asia,1985,wind,0.0,0.0,0.0,0.0
Asia,1986,coal,8322.275,724.456,0.0,243.077
Asia,1986,gas,2427.474,369.966,814.492,124.135
Asia,1986,hydro,1022.638,345.838,343.127,116.039
Asia,1986,nuclear,649.568,228.921,217.95,76.81
Asia,1986,oil,8385.08,466.585,2813.453,156.554
Asia,1986,other_renewables,60.148,19.51,20.181,6.546
Asia,1986,renewables,1082.786,365.347,363.308,122.585
Asia,1986,solar,0.0,0.0,0.0,0.0
Asia,1986,wind,0.0,0.0,0.0,0.0
Asia,1987,coal,8908.044,804.33,0.0,264.401
Asia,1987,gas,2586.567,397.68,850.262,130.726
Asia,1987,hydro,1059.524,358.312,348.289,117.785
Asia,1987,nuclear,768.979,271.004,252.78,89.085
Asia,1987,oil,8673.915,484.016,2851.308,159.107
Asia,1987,other_renewables,61.211,19.839,20.121,6.522
Asia,1987,renewables,1120.735,378.151,368.41,124.307
Asia,1987,solar,0.0,0.0,0.0,0.0
Asia,1987,wind,0.0,0.0,0.0,0.0
Asia,1988,coal,9504.192,860.388,0.0,277.144
Asia,1988,gas,2777.181,423.477,894.571,136.408
Asia,1988,hydro,1217.433,411.714,392.153,132.619
Asia,1988,nuclear,725.645,255.733,233.741,82.375
Asia,1988,oil,9304.535,528.836,2997.128,170.346
Asia,1988,other_renewables,66.075,21.396,21.284,6.892
Asia,1988,renewables,1283.508,433.11,413.437,139.511
Asia,1988,solar,0.0,0.0,0.0,0.0
Asia,1988,wind,0.0,0.0,0.0,0.0
Asia,1989,coal,9890.94,936.28,0.0,295.734
Asia,1989,gas,3012.63,467.878,951.571,147.784
Asia,1989,hydro,1245.5,421.205,393.404,133.042
Asia,1989,nuclear,757.546,266.975,239.279,84.327
Asia,1989,oil,9747.575,561.22,3078.874,177.267
Asia,1989,other_renewables,71.387,23.113,22.548,7.301
Asia,1989,renewables,1316.887,444.319,415.952,140.343
Asia,1989,solar,0.0,0.0,0.0,0.0
Asia,1989,wind,0.0,0.0,0.0,0.0
Asia,1990,coal,10067.662,986.046,0.0,305.719
Asia,1990,gas,3132.374,507.295,971.179,157.285
Asia,1990,hydro,1313.26,444.121,407.17,137.698
Asia,1990,nuclear,814.76,287.138,252.613,89.026
Asia,1990,oil,10316.576,629.204,3198.609,195.082
Asia,1990,other_renewables,57.274,18.881,17.758,5.854
Asia,1990,renewables,1370.645,463.039,424.962,143.563
Asia,1990,solar,0.012,0.004,0.004,0.001
Asia,1990,wind,0.099,0.033,0.031,0.01
Asia,1991,coal,10460.021,1086.87,0.0,331.144
Asia,1991,gas,3316.262,528.444,1010.389,161.005
Asia,1991,hydro,1327.733,449.015,404.53,136.805
Asia,1991,nuclear,870.172,306.667,265.122,93.434
Asia,1991,oil,10674.097,629.809,3252.154,191.888
Asia,1991,other_renewables,58.428,19.273,17.802,5.872
Asia,1991,renewables,1386.536,468.415,422.446,142.715
Asia,1991,solar,0.012,0.004,0.004,0.001
Asia,1991,wind,0.364,0.123,0.111,0.037
Asia,1992,coal,10791.163,1193.916,0.0,357.812
Asia,1992,gas,3529.38,555.492,1057.742,166.479
Asia,1992,hydro,1337.372,452.275,400.806,135.545
Asia,1992,nuclear,893.335,314.83,267.729,94.353
Asia,1992,oil,11296.724,653.856,3385.586,195.958
Asia,1992,other_renewables,59.237,19.529,17.753,5.853
Asia,1992,renewables,1397.308,472.04,418.768,141.469
Asia,1992,solar,0.046,0.015,0.014,0.005
Asia,1992,wind,0.653,0.221,0.196,0.066
Asia,1993,coal,11286.324,1259.348,0.0,371.552
Asia,1993,gas,3513.726,576.174,1036.673,169.992
Asia,1993,hydro,1486.406,502.676,438.542,148.307
Asia,1993,nuclear,989.941,348.876,292.067,102.931
Asia,1993,oil,11734.914,633.417,3462.212,186.88
Asia,1993,other_renewables,58.673,19.343,17.311,5.707
Asia,1993,renewables,1546.08,522.357,456.148,154.114
Asia,1993,solar,0.084,0.029,0.025,0.008
Asia,1993,wind,0.916,0.31,0.27,0.091
Asia,1994,coal,11824.197,1399.823,0.0,406.798
Asia,1994,gas,3796.997,617.656,1103.433,179.495
Asia,1994,hydro,1475.04,498.832,428.657,144.964
Asia,1994,nuclear,1056.8,372.439,307.113,108.233
Asia,1994,oil,12348.588,683.142,3588.584,198.526
Asia,1994,other_renewables,69.269,22.939,20.13,6.666
Asia,1994,renewables,1546.125,522.385,449.314,151.809
Asia,1994,solar,0.106,0.036,0.031,0.01
